"sim1_repl1_input","sim1_repl1_high","sim1_repl1_low","sim1_repl2_input","sim1_repl2_high","sim1_repl2_low"
297,121,564,188,132,156
182,89,73,63,50,15
38,9,95,1069,801,1108
1931,805,3093,634,545,172
0,0,0,192,156,93
214,90,218,33,30,1
274,145,202,447,338,13
4,3,1,45,31,16
190,79,304,269,191,76
243,111,382,218,155,88
1,0,0,56,55,35
183,76,165,355,297,201
0,0,0,124,101,19
133,52,94,87,53,37
1,1,0,27,24,14
52,14,57,167,128,89
167,75,210,0,0,0
0,0,0,117,93,78
0,0,0,437,382,346
660,319,106,18,13,3
0,0,0,31,35,16
62,23,171,150,113,46
535,253,503,0,0,0
41,15,15,211,188,7
150,67,108,209,143,1
718,267,607,259,225,104
362,168,355,0,0,0
6,3,19,465,384,18
564,241,1022,101,82,9
301,109,300,105,109,33
403,172,129,1061,847,398
431,172,528,332,245,63
473,182,757,74,50,64
10,2,4,266,211,103
232,102,157,221,129,185
319,115,308,310,235,240
124,46,81,161,127,130
63,33,118,420,295,294
26,5,34,0,0,0
85,24,367,454,326,203
80,35,177,25,23,11
271,124,213,193,134,40
376,142,147,105,90,75
12,6,23,63,50,62
12,3,3,1006,777,1113
2,0,7,352,289,63
388,167,551,30,22,18
1539,647,940,69,64,12
187,84,64,437,316,77
63,33,38,4,0,1
455,178,375,0,0,0
115,42,146,402,313,25
64,24,76,347,265,24
21,7,2,8,4,1
177,79,72,165,141,179
89,35,123,803,625,851
562,261,276,266,204,101
1,0,0,89,59,10
364,137,114,1511,1124,1214
40,17,24,395,277,28
219,98,327,11,18,0
86,44,145,316,266,58
352,152,61,27,13,13
27,16,29,500,426,179
87,38,9,1,1,0
98,46,13,1484,1154,339
36,13,40,301,220,93
139,46,327,1,0,0
253,94,164,68,71,40
160,59,179,294,219,238
492,219,372,60,47,11
85,39,135,241,208,52
273,122,94,357,247,816
46,13,9,3,1,2
23,6,39,42,23,13
756,299,292,86,78,63
14,5,43,242,226,171
167,71,271,0,0,0
28,24,7,45,44,11
20,10,10,49,42,94
279,123,1249,268,252,94
48,22,47,9,9,2
9,1,38,694,566,356
158,82,102,1084,827,717
0,0,0,5,3,2
1278,513,1123,884,623,368
358,170,395,110,75,62
139,52,355,20,21,13
505,238,542,31,19,23
95,30,6,428,360,139
167,49,582,149,103,89
70,28,35,249,179,378
679,283,669,4,3,0
354,132,163,891,583,858
1,1,0,0,0,0
90,38,174,92,74,92
206,80,373,10,7,3
64,42,62,0,0,0
54,32,30,527,362,725
667,280,414,343,251,318
173,82,314,62,51,13
0,0,0,42,41,7
0,0,0,295,255,224
97,29,80,248,179,191
0,0,0,0,0,0
67,19,74,395,306,387
85,41,24,487,431,380
46,29,43,452,358,219
21,6,20,9,20,3
248,96,119,129,99,10
98,50,60,0,0,0
223,114,194,416,348,179
363,117,338,1262,911,1216
34,13,100,105,81,29
761,271,2219,150,121,154
10,9,18,113,66,7
0,0,0,217,166,71
0,0,0,321,240,159
5,2,0,38,32,6
31,10,25,0,0,0
80,19,190,0,0,0
0,0,0,945,824,196
469,185,740,370,304,89
74,30,124,185,120,56
6,4,16,1,2,0
188,76,331,140,108,4
899,346,556,436,339,46
1047,494,756,1412,1002,1293
152,71,310,121,88,22
186,84,193,0,0,0
0,0,0,18,4,1
294,123,842,2,0,0
63,29,39,33,29,11
138,77,138,498,409,432
562,277,811,58,65,19
140,57,271,140,97,1
138,54,183,728,611,335
15,4,19,20,23,1
171,73,437,297,266,33
1110,449,2367,47,20,17
106,54,232,127,103,46
2,2,0,15,13,6
365,160,403,277,201,80
92,57,25,0,0,0
717,312,486,0,0,0
133,46,176,169,121,84
72,42,54,66,33,9
257,126,503,109,91,54
22,13,3,40,32,11
519,214,482,251,188,102
16,6,45,0,0,0
0,0,0,490,356,128
280,121,367,288,213,109
720,297,716,1245,1001,213
59,28,23,69,65,20
302,119,182,249,195,79
352,121,828,457,364,127
358,152,134,502,383,170
32,17,36,173,140,17
70,20,43,0,0,0
67,34,12,869,645,193
146,67,140,42,32,0
0,0,0,137,103,14
0,0,0,238,176,29
258,117,345,110,78,75
365,139,702,638,453,635
28,10,18,1874,1272,2342
0,0,0,584,492,282
0,0,0,70,43,43
0,1,3,0,0,0
413,166,353,50,48,15
61,25,13,62,55,39
0,0,0,0,0,0
3,1,4,61,37,2
391,151,668,48,41,35
81,41,187,487,371,95
369,150,432,52,33,7
185,74,163,3,4,16
34,10,124,0,0,0
147,53,125,199,148,31
2016,883,869,0,0,0
0,0,0,245,181,53
30,10,35,41,26,12
35,11,36,20,6,2
395,171,1517,23,25,13
340,143,666,485,372,202
606,267,197,30,24,5
442,207,375,46,41,52
137,59,141,87,82,8
16,7,10,2,2,1
17,9,8,286,209,149
18,10,10,10,8,6
189,66,104,580,459,128
10,3,14,14,13,3
142,63,110,31,15,7
0,0,0,139,92,129
29,17,16,136,83,291
512,206,323,60,41,17
1,0,0,67,65,20
245,94,91,42,31,24
137,54,28,95,80,45
77,22,34,146,142,59
824,354,1420,12,8,14
105,38,16,235,202,93
59,23,104,272,214,185
80,40,52,336,250,381
42,14,54,0,0,0
565,223,2023,15,15,7
0,0,0,43,40,25
273,108,152,268,170,157
0,0,0,1170,929,129
98,32,391,1185,921,241
145,61,195,205,133,67
355,164,606,418,323,229
239,134,166,0,0,0
308,132,859,98,73,66
95,44,78,188,133,114
221,93,191,11,7,9
6,0,0,294,258,63
536,246,212,58,64,57
12,7,31,268,226,156
373,144,894,69,49,13
200,82,271,30,42,8
132,62,69,129,127,62
473,184,235,10,9,10
119,51,143,288,209,172
117,32,37,440,360,128
73,39,8,267,200,154
594,255,1541,1,2,0
577,251,815,3,2,2
39,11,31,40,30,6
787,320,560,33,31,1
0,0,0,80,59,64
225,105,40,26,23,6
3,0,1,540,398,303
106,49,81,349,255,32
6,2,5,33,36,23
188,102,1,48,40,23
59,24,49,0,0,0
684,285,707,200,152,137
750,324,303,0,0,0
31,7,4,17,17,3
2,0,5,262,232,64
0,0,0,121,100,133
95,50,19,200,121,285
14,5,41,179,164,52
222,86,619,59,63,31
59,18,32,305,221,129
6,5,6,0,0,0
112,38,93,196,175,105
249,106,37,201,137,37
284,120,1042,142,124,17
505,213,723,980,746,375
112,44,112,0,0,0
0,0,0,37,30,6
0,0,0,223,199,24
944,423,784,240,180,179
646,275,139,175,160,23
134,58,125,94,81,18
453,196,170,62,40,8
61,27,85,422,330,162
0,0,0,512,454,147
6,4,22,0,0,0
44,11,31,11,21,3
21,7,26,5,2,0
132,67,382,140,126,87
223,95,275,457,364,323
8,1,1,0,0,0
378,154,198,846,600,128
177,79,29,158,119,93
304,121,463,879,658,77
3,4,1,439,300,18
6,6,3,180,145,16
736,284,2096,187,115,77
168,69,66,319,236,57
408,178,469,23,19,8
126,53,21,4,5,7
3,2,7,113,100,22
229,63,750,224,170,72
236,115,186,566,436,410
127,45,119,378,253,131
613,236,217,0,0,0
46,17,35,71,52,119
503,179,115,39,23,36
260,99,44,134,114,10
66,22,44,125,90,27
50,18,79,122,104,41
136,62,273,409,292,116
264,115,32,169,134,61
147,49,87,183,140,64
33,11,0,21,16,15
0,0,0,186,158,141
40,22,176,25,22,11
125,58,57,497,408,145
26,27,9,78,56,26
364,160,111,7,8,11
463,240,505,0,0,0
0,0,7,17,10,11
36,14,16,49,48,20
415,165,1504,286,245,119
1,0,1,244,164,160
427,178,242,0,0,0
56,26,97,94,82,6
71,23,1,0,1,0
0,0,0,9,7,0
0,0,0,61,39,0
182,102,199,31,25,2
0,0,0,43,35,59
4,4,8,113,73,81
9,6,10,240,176,211
0,0,0,87,76,19
235,100,298,0,0,0
21,8,29,0,0,0
67,31,76,10,9,15
0,0,0,112,77,70
0,0,0,5,0,0
713,261,1129,524,376,282
0,1,3,321,265,19
10,5,0,205,148,146
0,0,0,0,0,0
0,0,0,294,224,61
0,0,0,47,25,22
288,106,187,0,0,0
6,1,20,69,46,36
36,14,69,35,22,21
93,31,130,534,388,476
316,122,639,0,3,0
854,376,473,280,229,459
1,1,6,13,9,0
0,0,0,14,4,0
7,2,0,7,14,0
158,58,241,0,0,0
12,3,7,341,285,0
349,155,234,185,134,95
49,15,50,470,392,166
1779,727,3546,841,670,190
17,10,43,196,160,51
21,11,25,487,370,501
1703,738,1385,594,457,42
44,18,52,1419,1119,1483
290,130,41,139,97,159
17,1,10,1,0,2
492,219,305,234,194,108
33,6,12,64,42,12
7,4,5,248,201,54
137,55,158,0,0,0
122,42,92,0,0,0
0,0,0,271,217,19
165,73,211,191,155,198
659,289,554,105,79,44
487,206,487,208,165,24
29,13,64,75,69,37
360,154,27,283,239,60
0,0,0,221,160,131
117,52,196,126,103,22
20,9,32,221,143,47
989,427,1403,222,151,383
216,90,470,0,0,0
201,94,223,1733,1370,67
44,24,22,155,114,18
0,0,0,154,119,28
225,99,11,2,1,1
322,100,160,87,72,26
36,28,21,139,122,99
193,87,58,956,782,115
1362,576,447,108,90,3
417,170,442,455,384,130
342,147,1001,66,56,43
25,8,19,336,261,329
382,185,348,117,90,47
977,387,1407,49,42,6
27,21,19,233,199,60
39,11,22,0,0,0
32,15,77,0,0,0
24,14,13,0,0,0
244,103,141,27,26,28
101,39,371,113,75,48
1548,696,687,3,1,0
27,12,2,0,0,0
710,248,3384,27,16,9
0,0,0,4,1,1
935,402,473,338,305,47
699,307,132,50,33,3
79,31,197,128,109,14
404,172,248,80,57,61
453,180,1427,0,0,0
39,29,232,316,285,91
0,0,0,429,372,77
12,2,9,231,166,30
293,132,474,147,125,40
34,14,4,0,0,0
3,0,2,550,446,32
272,116,33,48,40,45
0,0,0,0,0,0
323,120,478,239,170,26
257,115,519,287,220,205
299,108,149,465,328,785
141,61,27,486,385,144
1,1,1,93,78,37
234,104,31,334,289,89
20,6,19,286,234,165
167,69,302,96,68,49
389,147,320,218,141,132
238,122,273,0,0,0
44,19,27,0,0,0
0,0,0,179,137,47
792,340,731,28,24,6
72,34,21,0,0,0
1084,399,2041,0,0,0
0,0,0,936,737,723
991,460,787,176,131,100
0,0,0,2,0,2
186,90,83,0,0,0
599,235,1399,360,290,58
6,1,0,152,91,111
111,42,298,78,64,29
458,214,855,11,9,7
41,12,167,390,272,420
0,0,0,2,2,1
21,11,5,470,303,336
154,73,133,50,45,14
10,8,9,158,106,39
74,20,340,2,3,2
370,161,68,25,10,20
284,119,406,11,7,3
42,10,130,205,152,198
247,97,791,17,10,10
45,20,19,245,184,202
72,28,30,451,376,89
412,173,392,214,201,253
66,33,24,302,218,244
1269,547,555,66,63,17
125,54,179,5,7,5
108,44,102,28,24,18
12,8,21,41,36,28
241,81,542,103,66,127
0,0,0,478,375,419
7,2,6,112,90,8
19,15,20,27,21,2
513,232,51,235,165,14
5,2,0,106,87,7
172,86,38,855,671,70
2,0,5,15,13,0
368,139,674,2,3,0
0,0,0,6,5,1
301,113,146,0,0,0
812,338,1930,153,143,61
77,29,59,215,182,82
678,296,813,0,0,0
8,5,0,0,0,0
24,9,28,0,0,0
135,44,341,0,0,0
46,29,22,0,0,0
350,136,738,27,10,11
1041,443,974,17,7,0
123,60,112,26,13,18
672,277,658,99,79,36
255,103,664,103,83,138
0,0,0,346,275,28
390,193,492,0,1,0
21,7,39,68,52,36
142,69,34,7,5,12
48,21,38,362,308,34
30,12,40,21,15,2
5,7,6,0,0,0
274,110,206,138,123,117
18,8,27,172,118,67
218,101,175,0,0,0
75,51,116,20,19,3
143,74,60,1064,759,1002
31,16,40,136,105,1
500,221,4,131,96,26
81,30,86,17,10,0
0,0,0,17,7,1
0,0,0,34,30,2
16,5,27,2,0,0
38,17,58,691,474,1072
12,3,3,226,191,182
106,49,125,41,34,4
17,11,1,1042,748,508
70,30,6,644,491,21
64,25,51,150,90,33
13,3,8,305,240,252
81,30,23,5,1,0
21,5,16,114,84,29
538,208,992,722,576,684
102,45,373,19,26,28
0,0,0,1078,833,909
2,0,0,520,433,209
196,82,144,81,72,93
0,0,0,98,93,63
68,37,149,198,163,59
666,294,144,1008,747,593
129,74,73,78,55,54
716,285,805,233,171,34
409,199,421,0,0,0
248,109,159,170,137,30
376,170,82,724,594,658
0,0,1,0,0,0
125,48,127,144,129,89
649,279,2083,0,0,0
0,0,0,20,19,2
0,0,0,203,155,274
5,4,0,356,269,183
82,34,60,123,82,66
151,64,51,237,180,29
935,399,77,467,384,139
246,122,112,55,40,28
0,0,0,79,54,24
164,61,334,86,59,46
17,12,43,145,141,107
21,4,31,8,11,0
559,237,352,211,176,88
251,97,785,15,4,5
915,381,1052,289,224,5
16,8,2,0,0,0
546,208,1931,220,168,39
220,89,500,166,143,81
97,42,63,965,730,766
61,23,51,0,0,0
27,11,13,339,276,186
224,75,54,394,297,222
332,133,135,1,0,0
8,3,10,373,268,186
4,1,12,73,70,9
424,186,476,93,77,34
6,1,4,305,210,100
1,2,7,153,136,36
58,23,11,77,47,13
247,94,386,0,0,0
18,14,0,209,193,165
6,2,8,51,37,1
1,0,0,19,12,8
14,6,25,0,0,0
621,210,2362,0,0,0
64,31,87,20,17,0
39,17,11,71,60,27
0,0,0,1,2,0
818,334,2764,214,118,99
0,0,0,329,259,204
94,42,108,12,5,4
165,68,51,5,4,0
171,74,509,105,72,9
299,129,345,357,303,163
290,90,627,7,7,2
145,61,158,282,223,110
1165,522,221,262,160,246
32,14,45,699,532,509
27,8,78,427,350,29
15,12,50,235,202,13
132,50,65,0,0,0
217,80,358,226,198,223
346,142,136,189,154,114
76,25,9,0,0,0
176,66,247,0,0,0
33,10,33,200,135,141
16,7,9,295,265,74
37,15,1,505,383,205
214,81,101,145,114,143
195,73,446,978,761,305
40,20,83,8,5,3
10,7,4,498,394,135
108,59,281,47,31,4
13,6,7,698,535,357
3,7,3,264,214,281
580,212,181,643,484,247
634,277,1331,58,57,74
330,137,284,157,127,177
221,80,39,318,230,297
112,29,136,143,93,143
825,313,587,600,464,332
0,0,0,315,224,148
95,34,74,47,41,68
0,0,0,374,281,86
702,315,455,19,16,15
460,166,71,67,44,2
567,262,540,194,158,125
350,173,193,0,0,0
15,1,27,144,108,18
551,206,436,164,141,44
14,3,6,683,567,431
213,75,623,411,330,69
1,0,0,497,441,203
66,37,67,373,315,145
59,28,116,202,181,40
0,0,0,244,213,63
353,142,107,0,0,0
49,18,58,275,193,64
376,145,544,109,96,2
545,218,503,7,6,4
76,33,102,133,89,59
0,0,0,128,111,191
246,97,48,170,136,2
20,5,13,309,246,176
411,175,570,328,255,20
232,88,821,0,0,0
0,0,0,80,70,18
1,0,0,15,12,25
27,13,29,121,103,16
72,29,21,99,67,11
251,88,60,128,92,147
493,187,816,938,760,519
9,4,13,1,1,0
403,171,585,2,4,12
0,0,0,150,122,28
77,31,16,168,96,260
153,49,210,265,191,2
0,0,0,558,454,667
471,206,832,140,112,17
276,99,531,26,20,62
543,223,442,211,171,95
0,0,0,0,0,0
14,8,23,89,69,54
114,40,81,0,0,0
744,287,2878,268,197,177
0,0,0,20,16,4
211,96,54,87,83,6
39,24,60,101,91,73
159,71,468,313,243,111
0,0,0,70,60,36
50,25,30,0,0,0
246,108,326,287,211,310
12,5,20,18,7,8
0,0,0,235,192,12
274,107,1278,1195,940,227
940,400,1171,221,153,88
387,201,131,9,5,5
0,0,0,30,22,34
481,211,516,265,223,313
522,215,395,1222,923,283
227,93,135,0,0,0
70,41,207,244,182,93
759,339,461,57,41,9
145,58,97,65,49,7
250,104,632,0,0,0
188,88,431,619,478,119
0,0,0,0,0,0
409,168,896,311,251,398
247,94,549,161,151,63
0,0,0,285,236,111
646,259,1007,0,0,0
38,23,23,216,184,89
32,19,36,112,84,30
554,259,613,0,0,0
76,43,14,1074,858,327
116,44,13,0,0,0
279,121,476,450,377,290
997,443,95,253,234,53
238,99,39,18,11,4
76,25,13,53,47,14
0,0,0,748,568,398
154,59,161,52,39,6
167,60,134,469,328,244
286,135,609,74,75,68
370,152,326,45,37,9
1,4,0,21,26,7
1104,452,2218,327,249,77
155,53,206,491,354,104
245,101,203,54,34,50
1310,564,1930,40,10,9
212,76,87,316,248,121
385,153,452,169,147,54
366,144,324,58,50,13
45,16,42,39,21,0
188,91,364,651,482,139
859,336,2071,14,12,4
52,14,131,267,235,210
0,0,0,10,14,8
134,63,27,355,267,216
0,0,0,216,165,16
11,2,23,256,157,194
64,27,47,674,509,117
273,122,101,0,0,0
559,215,496,27,10,17
0,0,0,339,284,483
83,38,51,0,0,0
112,66,9,215,184,189
116,35,136,95,61,34
92,51,142,196,139,235
122,63,99,102,94,116
2,1,0,250,190,321
10,2,29,77,61,12
24,6,22,19,10,9
97,41,328,199,158,98
376,165,80,64,44,10
17,9,19,43,46,7
394,183,369,237,208,60
84,45,78,9,3,1
86,41,48,747,581,1520
43,18,54,49,28,123
135,56,77,40,34,6
46,26,73,0,0,0
109,57,25,0,0,0
31,12,14,138,102,48
187,86,27,362,270,137
0,0,0,1544,1185,1537
24,10,22,0,0,0
510,205,1016,1160,841,1623
0,0,0,67,57,26
335,165,431,132,111,72
22,9,61,11,10,2
219,107,113,17,15,0
94,44,206,885,593,1455
36,21,0,145,102,12
60,25,31,0,0,0
3,1,0,15,12,9
8,2,2,399,318,218
46,15,67,65,33,41
374,145,318,192,165,186
299,126,255,71,59,36
5,0,3,22,19,12
754,276,2485,97,85,138
0,0,0,120,101,48
17,6,17,79,41,67
0,0,0,381,263,309
707,265,2156,87,61,52
0,0,0,755,619,767
113,45,218,105,59,108
82,37,61,277,216,210
909,381,987,403,299,220
272,95,665,0,0,0
768,305,1892,0,0,0
161,69,238,27,16,17
0,0,0,21,8,9
226,75,314,6,4,15
50,19,89,40,32,6
223,125,67,158,139,98
0,0,9,16,14,8
5,2,7,140,112,145
28,14,7,2,5,1
240,109,1145,125,112,127
274,82,108,34,28,16
0,0,0,38,26,43
0,0,0,467,360,148
108,46,25,1227,955,1071
143,74,100,76,53,1
72,36,25,313,233,359
211,106,157,0,0,0
186,58,30,726,527,152
1351,515,1640,70,45,52
384,142,463,796,652,138
0,0,0,154,106,30
0,0,0,84,70,70
101,52,22,212,147,77
1,1,3,0,0,0
12,11,15,34,22,6
144,45,157,11,6,1
1459,674,793,12,13,1
532,233,147,351,248,235
190,81,214,34,19,4
41,19,35,483,322,628
78,37,102,115,113,40
71,27,128,3,1,0
43,9,14,57,45,3
1,0,0,152,97,0
222,92,228,706,568,149
302,120,266,101,73,58
74,25,115,21,14,4
360,135,403,2,1,0
381,164,298,164,144,27
119,64,73,13,20,4
62,44,143,137,111,68
57,31,193,382,318,61
212,87,56,0,0,0
3,1,1,63,53,14
190,64,275,223,172,20
243,107,364,0,0,0
125,49,114,196,165,158
713,335,187,737,600,40
782,321,761,61,48,57
49,19,60,111,74,17
9,4,5,43,51,4
831,336,469,145,122,16
51,16,53,761,607,124
9,3,20,1505,1226,152
212,119,264,24,15,6
83,27,59,0,0,0
14,8,28,173,151,31
22,11,30,281,211,200
0,0,0,871,668,355
80,43,56,7,7,0
23,11,13,0,0,0
88,36,141,46,38,9
11,4,20,2,0,9
7,1,11,523,428,236
34,22,52,767,568,203
166,89,216,342,253,315
238,106,145,66,52,96
260,86,1235,0,0,0
56,26,151,0,0,0
86,34,172,94,77,74
0,0,0,0,0,0
326,140,96,31,29,29
371,151,508,546,396,91
6,2,2,27,21,18
257,96,190,124,80,13
10,4,8,131,96,19
190,80,709,104,61,32
0,0,0,960,799,565
16,1,4,118,68,60
77,32,327,98,64,46
684,309,321,17,21,4
100,62,144,220,146,39
621,254,361,73,38,20
3,0,6,396,321,474
201,81,268,0,0,0
168,58,363,75,59,38
73,22,32,47,54,1
25,14,51,609,451,46
36,19,2,107,83,40
707,305,34,121,115,49
81,37,13,211,165,90
0,0,0,160,126,31
201,94,12,168,107,35
240,98,399,168,139,173
246,96,200,128,98,14
60,20,68,202,141,19
545,212,449,97,101,17
840,333,433,320,215,69
366,143,458,184,136,87
68,33,41,497,432,220
107,59,29,160,108,244
23,6,27,53,40,28
0,0,0,0,0,0
537,218,524,229,178,216
0,0,0,110,89,111
1,3,14,122,98,12
50,25,111,22,14,13
1,0,0,175,100,30
16,2,15,646,546,683
172,66,191,9,3,0
12,2,12,224,220,73
316,116,89,2,1,1
1,0,0,398,295,326
5,1,0,113,75,59
0,0,0,90,75,49
292,133,347,137,108,13
303,146,404,21,14,0
45,20,114,1283,1027,926
0,0,0,301,250,81
92,41,214,220,137,156
298,125,479,203,174,42
61,31,106,849,649,87
759,296,954,245,156,140
2,2,0,140,103,41
7,5,22,210,163,12
0,0,0,31,24,4
464,216,25,594,422,620
382,184,359,157,109,19
64,29,12,645,494,370
454,199,106,107,87,3
8,5,16,234,168,100
0,0,0,845,618,788
35,13,41,19,16,6
27,18,5,15,11,0
768,311,373,38,36,0
650,283,611,0,0,0
