"sim1_repl1_input","sim1_repl1_high","sim1_repl1_low","sim1_repl2_input","sim1_repl2_high","sim1_repl2_low"
274,110,412,610,497,216
760,319,824,655,521,209
442,190,534,158,119,55
199,72,103,0,0,0
395,164,17,0,0,0
336,150,33,435,347,189
270,87,724,152,110,53
320,140,173,0,0,0
0,0,0,1011,769,657
24,15,3,18,23,1
0,0,0,1,1,0
81,35,129,444,405,175
95,43,167,365,266,216
0,0,0,1278,1024,542
46,22,77,86,75,155
88,24,325,9,8,0
82,28,0,525,426,79
819,336,921,6,9,4
96,30,134,126,85,102
0,0,0,1613,1332,961
0,0,0,131,124,18
321,112,677,256,221,80
23,2,35,40,27,37
206,100,328,0,0,0
23,7,80,552,428,260
106,38,39,1098,806,788
282,121,730,0,0,0
1046,447,1572,35,27,8
640,254,1065,215,129,224
1706,713,1000,34,33,1
125,42,111,457,322,269
388,131,406,224,186,34
26,8,14,8,3,6
8,3,5,0,0,1
74,44,33,198,144,74
37,18,20,291,196,394
0,0,0,7,6,0
78,25,60,88,64,32
301,132,453,294,244,119
109,40,104,417,337,62
254,92,571,149,111,154
58,30,151,8,7,1
209,101,53,276,202,32
507,207,584,0,0,0
144,68,89,86,75,71
65,21,4,0,0,0
986,402,1887,0,0,0
51,23,11,124,87,42
0,0,0,0,0,0
29,9,6,270,213,117
1012,461,635,88,77,17
42,24,77,35,26,27
182,92,95,0,0,0
68,36,90,1,3,7
1265,542,1618,44,42,21
174,84,512,460,340,317
0,0,0,4,4,4
18,7,30,227,161,108
24,11,49,0,0,0
569,244,701,18,16,36
455,167,1520,671,494,304
3,1,3,6,5,4
95,44,167,115,70,161
108,43,179,0,0,0
10,9,18,54,43,10
0,0,0,149,106,67
134,65,357,190,169,23
130,66,10,1469,1159,115
223,101,192,47,28,30
1291,552,2660,430,318,62
44,12,32,935,715,312
0,0,6,53,36,14
175,82,99,211,195,0
46,13,20,340,261,27
347,141,198,196,120,148
132,47,272,15,5,3
104,35,6,15,9,20
120,55,239,188,136,96
86,37,39,180,141,59
214,91,406,95,73,110
487,199,342,303,187,231
455,199,752,124,97,36
36,13,59,127,103,43
38,11,25,0,0,0
48,20,47,186,161,209
0,0,0,88,64,32
28,7,7,394,330,223
56,17,124,3,2,1
98,40,79,2,1,0
123,48,47,124,73,66
175,78,395,85,66,67
1069,498,702,897,663,73
0,0,0,221,191,28
294,110,393,343,239,212
136,63,349,263,267,86
8,7,6,100,93,78
30,15,74,117,95,25
289,128,252,0,0,0
2,2,2,165,143,65
26,7,36,0,0,0
323,147,275,0,0,0
31,12,65,236,194,9
112,59,82,0,0,0
305,125,88,273,177,121
26,15,18,64,50,9
23,11,61,140,109,23
76,38,32,0,0,0
240,104,239,0,0,0
862,413,902,101,66,62
293,141,806,25,21,7
338,117,1153,0,0,0
0,4,0,297,241,185
45,12,59,0,0,0
685,287,403,0,0,0
4,2,4,9,13,13
48,18,179,30,31,10
158,78,84,20,12,10
3,2,2,563,455,189
357,155,172,10,6,1
129,64,166,1,1,0
189,95,95,3,9,6
130,45,169,72,38,30
0,0,0,106,95,86
211,75,502,1121,864,507
77,33,87,33,20,22
19,7,0,234,197,83
13,5,2,0,0,0
148,58,207,366,251,470
14,2,21,161,131,39
777,320,381,47,31,44
17,15,5,496,397,108
1,0,9,40,29,11
225,117,99,0,0,0
128,48,125,0,0,0
8,11,11,105,65,34
477,206,505,121,85,29
529,192,610,17,4,5
0,0,0,600,432,413
239,132,68,0,0,0
434,212,925,234,197,115
0,0,0,0,0,0
316,128,568,34,26,19
59,19,73,242,165,49
235,98,255,0,0,0
221,105,47,67,44,22
0,0,0,0,0,0
581,254,382,167,126,76
487,183,1523,17,21,0
767,348,1696,1203,803,2122
11,4,3,83,75,75
222,93,233,138,87,23
290,130,137,372,323,29
1135,490,1397,418,336,272
36,17,119,117,89,16
39,13,40,60,50,57
394,150,239,73,46,13
154,60,67,92,79,28
499,201,392,55,48,18
12,5,6,0,0,0
245,96,95,453,347,295
348,129,487,341,283,88
506,211,490,169,132,58
159,66,280,47,32,12
1,1,0,7,8,12
217,92,174,146,103,94
521,248,41,17,8,11
222,84,373,595,445,196
215,93,43,148,145,11
16,10,20,9,10,1
1308,591,254,1,5,2
86,48,36,98,78,75
96,46,190,199,166,236
258,109,175,127,87,51
27,13,5,0,0,0
345,145,408,164,122,112
27,13,37,5,6,0
323,145,489,466,347,337
1198,562,689,162,139,74
220,99,134,666,513,337
1646,672,1539,582,433,55
5,1,2,0,0,0
4,1,7,186,135,60
882,322,2947,167,103,10
90,23,38,358,231,375
0,0,0,4,4,0
248,76,167,85,51,12
4,1,16,138,110,51
71,32,58,0,0,0
441,186,122,539,396,716
15,6,4,0,0,0
156,64,234,286,221,24
143,58,196,198,162,194
0,0,0,8,6,2
0,0,11,3,3,0
162,72,128,10,13,10
833,338,2610,749,633,54
3189,1284,2253,113,79,96
1,1,0,275,232,50
1,0,0,0,0,0
28,9,10,148,92,77
0,0,5,225,189,113
10,2,24,70,64,40
280,121,43,88,74,28
215,84,104,7,3,0
181,81,128,274,200,87
7,7,1,782,546,193
642,227,2194,4,1,0
101,38,404,143,108,15
56,31,89,44,21,9
180,81,188,337,267,55
635,254,616,142,133,62
0,0,5,59,57,26
0,0,0,206,162,80
72,22,45,202,145,216
36,16,10,41,42,30
0,0,0,98,73,14
1,0,0,0,0,0
451,177,875,42,32,1
368,130,18,161,127,53
48,21,77,156,121,107
535,220,226,504,411,175
85,49,106,11,15,11
31,9,7,731,602,126
45,18,56,1385,1090,74
3,0,4,0,0,0
257,103,413,395,302,171
125,43,52,955,800,186
0,0,0,182,136,238
72,37,79,545,361,356
60,25,5,204,144,79
139,60,304,181,121,49
0,0,0,252,163,294
69,32,242,16,14,12
484,194,78,1249,947,1510
2,4,16,6,6,2
102,40,110,0,0,0
50,29,94,140,103,45
0,0,0,2,1,0
140,48,105,100,87,27
318,120,423,0,0,0
1,2,0,214,159,76
128,51,219,0,0,0
122,49,230,0,0,0
1,0,0,121,87,60
87,39,103,0,0,0
289,119,304,66,42,18
345,142,942,243,168,30
573,261,243,481,375,159
19,9,4,209,153,99
29,5,26,38,34,37
133,57,95,23,17,9
220,99,496,53,45,47
160,61,107,180,119,12
480,201,425,523,463,110
24,9,4,192,160,105
466,185,1849,133,126,110
31,12,36,2,0,0
58,28,63,27,24,6
25,15,48,227,163,142
50,19,26,134,107,98
0,0,0,0,0,0
32,22,55,205,156,155
28,15,14,299,246,34
442,209,335,3,2,0
95,43,55,140,102,57
191,69,381,320,283,68
59,22,263,0,0,0
48,20,17,15,8,5
190,89,388,135,88,42
23,8,53,33,24,12
314,129,603,0,1,0
450,193,272,107,114,16
0,0,0,141,105,12
180,99,229,30,18,15
833,373,662,154,110,170
204,91,56,29,27,18
152,80,179,993,762,565
401,171,285,0,0,0
747,330,728,138,133,36
0,0,0,148,136,105
462,201,656,93,64,25
290,108,478,0,0,0
0,0,0,546,457,125
3,0,3,36,25,18
180,89,157,54,64,18
75,40,31,33,17,8
24,10,14,30,28,3
0,0,0,316,220,604
38,24,17,605,427,564
323,150,1041,198,160,321
1,2,0,12,2,7
59,25,70,111,92,36
51,12,25,0,0,0
0,0,0,54,42,3
180,65,478,0,0,0
410,176,1114,27,24,6
796,305,1038,0,0,0
37,15,80,410,310,42
0,0,0,99,93,42
203,90,227,307,261,115
6,4,8,132,103,22
0,0,0,431,352,122
296,122,177,2,3,1
350,139,543,841,570,1639
121,60,242,0,0,0
491,239,530,0,0,0
399,197,464,126,126,22
3,3,1,203,174,122
960,432,504,385,311,338
850,344,189,94,72,16
299,124,667,104,92,134
677,309,222,180,147,121
371,145,392,185,132,64
70,30,285,821,617,874
676,264,1241,537,418,37
5,7,10,354,244,205
10,2,4,89,68,11
216,120,246,42,30,10
413,179,369,132,90,22
386,169,239,0,0,0
250,91,575,494,400,177
228,103,296,286,226,60
71,26,91,52,46,77
2,2,1,648,548,24
10,10,17,339,250,204
161,71,114,168,114,42
27,12,40,0,0,0
29,21,105,81,65,47
82,34,206,594,460,115
363,131,456,1202,878,676
0,0,0,81,61,29
617,260,608,83,73,12
19,8,0,648,487,108
261,102,188,298,264,23
81,31,26,1043,796,343
1083,504,832,0,0,0
110,46,149,74,46,23
169,68,84,74,35,18
39,14,20,1,1,2
175,60,28,26,20,29
35,16,108,100,71,77
10,5,19,0,0,0
0,0,0,0,0,0
45,31,29,154,107,99
563,231,471,280,206,243
237,95,456,227,163,236
47,14,47,342,261,51
712,338,705,124,93,61
14,5,13,267,260,23
131,68,266,76,53,43
298,95,271,0,0,0
7,5,19,231,156,201
0,0,0,685,519,467
90,28,4,177,125,30
0,0,0,12,7,2
45,15,5,117,90,83
57,16,20,0,0,0
50,22,9,744,586,152
2,0,0,408,337,203
651,274,267,19,5,0
116,38,202,376,251,138
1,0,1,0,0,0
589,225,2046,794,615,926
720,301,640,138,95,96
165,61,121,32,24,11
459,213,598,0,0,0
0,0,0,3,4,2
0,0,0,0,0,0
544,249,288,164,84,67
298,105,179,434,337,118
13,7,12,29,29,32
687,280,36,262,225,106
3,2,0,953,796,56
911,334,917,119,120,143
173,69,85,494,428,523
9,1,8,47,40,2
534,233,13,571,406,334
129,59,120,28,18,5
51,14,66,165,138,43
0,0,0,44,23,27
10,6,16,101,65,9
861,372,264,0,0,0
105,53,97,795,647,104
84,42,36,130,95,183
172,82,158,0,0,0
122,51,201,0,0,0
10,10,12,61,58,48
314,143,1496,25,20,8
82,30,64,229,229,171
262,116,539,156,114,18
43,9,9,990,790,30
797,339,641,26,21,9
223,87,139,835,699,216
447,184,159,473,394,367
9,1,3,64,39,27
110,63,10,10,10,9
100,42,83,281,192,179
17,7,22,0,0,0
0,0,0,0,0,0
161,82,39,241,181,391
152,73,67,641,526,74
538,250,357,211,160,241
28,16,16,620,485,186
45,26,14,574,442,261
433,184,165,247,183,82
73,29,79,179,133,99
13,3,21,78,66,65
633,259,227,323,257,125
219,88,166,0,0,0
201,86,173,0,0,0
10,6,8,25,16,40
18,8,28,94,70,13
128,42,45,0,0,0
10,1,1,19,12,5
0,0,0,4,9,7
493,255,172,92,74,67
219,89,54,48,37,18
1220,517,423,0,0,0
140,57,7,0,0,0
151,73,25,523,424,190
68,28,92,506,405,371
138,51,524,0,0,0
10,4,5,0,0,0
270,113,96,185,192,47
392,164,68,1069,849,21
239,101,75,766,608,140
32,10,49,66,37,0
139,41,133,70,46,52
189,75,176,1169,891,149
330,140,242,41,30,21
7,6,11,19,7,1
404,148,455,0,0,0
88,24,37,49,48,3
61,19,39,105,91,17
151,73,31,0,0,0
138,63,55,40,30,7
33,9,14,2,1,2
356,138,388,86,65,8
314,141,7,259,211,58
59,21,25,0,0,0
145,65,17,39,22,5
28,10,18,6,5,1
0,0,0,37,22,9
7,0,1,69,63,24
579,213,1173,12,9,7
91,43,77,214,184,67
78,32,117,0,0,0
60,33,185,10,2,6
24,7,16,148,125,57
149,71,74,1189,950,218
27,16,28,113,99,19
7,2,0,78,59,81
287,109,463,14,11,5
0,0,0,6,2,0
115,32,245,5,2,4
305,135,499,21,16,6
36,18,16,242,151,227
333,159,718,263,199,160
0,0,0,286,226,155
55,22,24,11,18,14
14,9,11,35,24,12
14,3,35,67,48,10
305,155,385,422,290,56
75,31,227,104,75,44
57,20,172,32,27,53
2,0,0,3,6,4
49,17,59,1660,1371,1126
0,0,0,532,423,394
1231,534,138,297,238,518
267,105,210,46,55,19
2,0,0,54,65,29
24,12,22,42,28,22
72,29,48,7,2,0
212,79,84,19,7,5
120,63,38,622,469,158
44,22,6,640,559,4
501,207,474,2,4,5
84,38,66,621,465,153
3,5,4,51,49,1
1040,460,295,143,116,171
135,56,343,413,323,167
164,81,358,5,7,1
225,101,154,369,237,273
1087,424,2392,15,7,2
295,117,363,49,30,13
41,19,54,150,111,32
237,81,175,643,503,270
186,68,117,99,75,33
120,52,13,10,3,0
141,43,32,17,16,11
197,93,247,222,164,124
117,40,6,147,121,47
96,38,176,59,37,16
215,113,142,643,535,145
85,36,223,0,0,0
369,149,604,0,0,0
436,174,426,904,692,97
357,141,353,221,161,25
2,1,2,37,25,16
208,86,219,251,206,314
382,150,43,289,194,192
0,0,0,681,532,274
11,6,17,0,0,0
0,0,0,42,26,25
4,0,5,551,413,225
179,73,407,29,36,9
125,50,34,190,150,71
220,85,142,174,140,41
1058,457,1094,8,8,0
352,140,80,827,640,50
398,183,267,0,0,0
0,1,0,15,10,3
370,153,771,276,229,103
0,0,0,31,24,18
467,203,451,322,246,240
7,6,25,541,455,439
0,0,0,12,15,13
134,55,126,0,1,2
342,155,1824,0,0,0
573,241,462,205,171,68
0,0,0,48,36,6
151,78,18,104,73,200
125,51,40,121,113,167
9,3,8,514,393,185
0,0,0,234,176,95
148,81,51,870,669,30
0,0,0,48,36,4
21,7,28,0,0,0
116,41,67,0,0,0
195,89,318,38,28,4
923,355,251,7,4,6
640,245,621,53,26,80
200,79,219,600,448,481
18,10,6,7,2,1
26,12,237,0,0,0
162,74,137,81,54,132
59,20,25,11,4,0
1005,423,2326,389,296,66
223,108,470,382,292,194
3,2,7,420,299,114
7,1,0,469,350,38
121,41,309,431,308,419
2,0,0,247,181,137
0,0,0,265,210,81
878,359,1564,560,459,10
366,173,312,0,0,0
2,1,0,376,274,194
1112,469,1339,447,358,69
57,19,40,44,26,2
122,42,104,285,209,80
508,234,1491,594,444,51
315,123,729,45,32,9
209,99,517,710,508,71
67,20,54,1327,931,742
60,30,132,13,12,13
5,0,0,40,29,45
158,71,384,149,99,159
268,125,90,31,25,19
2186,859,5029,256,217,12
71,41,58,0,0,0
211,111,80,11,7,10
207,74,414,221,172,179
15,13,5,324,295,58
246,106,100,10,11,5
281,120,599,311,253,287
411,166,254,670,498,412
278,128,9,591,444,287
294,147,545,8,9,0
0,0,0,372,273,96
100,49,31,112,109,63
370,151,450,85,59,11
0,0,0,0,0,0
263,88,1024,13,8,2
331,148,484,27,16,20
30,12,37,324,246,125
180,74,33,368,309,357
112,40,69,0,0,0
627,242,995,61,48,1
46,21,27,991,762,225
224,92,409,487,397,27
399,159,50,455,372,103
0,0,0,160,141,114
27,8,50,88,70,30
22,6,0,408,272,724
497,216,149,91,64,133
145,54,51,480,367,432
685,281,786,137,95,8
986,337,1886,6,5,6
364,127,609,164,137,33
2,1,2,656,478,221
0,0,0,0,0,0
17,6,7,0,0,0
234,100,496,531,371,887
214,91,170,1021,830,346
0,0,0,437,332,180
22,9,1,204,154,134
17,6,18,885,699,92
14,8,4,0,0,0
131,53,105,351,308,18
169,74,215,1172,966,359
99,44,0,532,415,43
0,0,0,70,64,33
9,0,1,174,131,238
255,113,364,169,140,14
63,18,10,236,199,40
7,3,4,562,429,860
0,0,0,863,604,1400
36,16,18,58,44,30
51,25,47,1,3,1
461,192,140,161,104,238
781,321,128,123,92,31
695,312,982,38,27,23
1115,409,3837,251,167,368
457,199,476,325,274,124
431,164,255,13,6,2
64,47,185,134,114,107
0,0,0,866,710,214
951,379,397,1061,774,507
36,20,19,231,160,116
121,49,152,576,421,414
270,104,262,37,43,11
83,28,21,130,97,155
249,109,177,1,1,5
45,17,38,32,24,20
75,30,169,574,411,76
215,75,451,0,0,0
293,105,448,0,0,0
243,97,311,25,16,16
883,366,562,0,0,0
466,202,221,215,185,97
145,54,245,582,413,439
69,43,99,49,33,49
1383,595,248,294,223,185
14,9,0,0,0,0
135,53,139,163,97,51
103,51,72,166,132,31
261,107,767,63,44,27
107,50,98,447,370,118
0,0,0,11,2,12
165,51,827,6,3,2
401,170,149,251,216,137
13,4,21,96,97,72
178,84,172,455,363,348
0,0,0,542,410,122
105,45,147,76,62,26
543,199,1710,7,3,3
106,56,84,34,36,0
198,89,200,158,123,57
312,144,107,153,97,85
0,0,0,0,0,0
232,118,203,61,34,23
2,0,3,110,92,20
66,22,86,141,92,10
272,91,73,264,209,157
0,0,0,31,14,23
10,4,1,0,0,0
374,161,682,68,38,64
86,25,136,0,0,0
38,19,38,120,95,110
228,70,1048,0,0,0
11,4,21,31,26,0
19,6,1,117,82,124
72,25,100,279,206,32
924,395,465,323,259,4
285,134,603,60,42,20
161,56,263,111,78,7
720,287,1909,28,26,3
208,128,274,52,29,13
311,143,267,15,17,6
231,96,147,53,44,19
980,455,1620,21,11,2
1218,533,527,38,35,25
49,30,41,473,380,48
29,13,5,15,16,8
688,282,1840,4,10,1
164,54,4,370,268,63
8,5,7,24,37,48
167,65,145,56,43,17
69,22,75,169,147,104
922,360,1488,142,75,150
267,113,280,747,610,587
170,69,92,813,623,925
74,29,78,0,0,1
0,0,0,242,149,354
516,217,692,0,0,0
300,122,265,46,37,5
151,59,103,0,0,0
544,226,47,349,282,435
909,409,732,91,83,54
0,0,0,145,95,59
776,332,281,90,94,45
2,0,3,191,129,81
474,204,600,57,43,35
209,84,21,390,288,249
237,95,9,76,57,13
374,160,211,51,45,28
156,77,60,114,64,41
186,78,500,0,1,0
42,15,0,69,49,80
269,128,56,217,170,18
13,6,32,901,698,236
485,173,613,0,0,0
561,228,340,0,0,0
50,15,52,9,5,3
31,13,122,277,208,142
2,0,1,151,129,35
326,134,509,0,0,0
24,13,19,0,0,0
77,16,235,91,84,11
58,31,7,113,82,81
92,37,93,20,13,11
0,0,0,0,0,0
130,50,366,148,103,167
0,0,0,42,30,0
380,181,149,10,8,4
47,20,95,81,57,19
404,161,167,613,487,304
1,2,3,64,39,0
742,326,136,1171,921,141
96,43,201,61,43,35
0,0,0,316,252,75
349,145,168,0,0,0
294,97,183,684,518,876
0,0,0,1181,896,515
22,9,0,0,0,0
0,0,0,97,72,52
68,39,115,0,0,0
4,2,6,55,45,14
331,144,340,297,220,171
0,0,0,0,0,0
147,59,11,306,271,41
20,13,10,8,7,1
370,176,531,221,148,120
0,0,0,88,56,8
5,3,6,567,423,57
0,0,0,50,35,24
330,129,763,755,665,209
638,283,813,625,496,179
428,188,307,328,238,109
148,69,217,0,0,0
630,210,1864,39,26,13
827,364,638,1508,1153,51
291,102,96,0,0,0
135,58,31,93,73,86
0,0,0,5,2,0
35,21,52,1450,1088,494
0,0,0,270,217,10
235,80,481,0,0,0
21,11,14,16,11,7
243,104,138,60,40,26
163,85,229,29,16,12
921,371,1466,520,438,41
492,211,283,0,0,0
92,42,20,60,41,9
579,231,302,0,0,0
108,49,150,700,523,106
207,90,83,3,3,7
953,373,3739,389,290,39
216,100,225,10,7,3
133,55,66,139,98,83
0,0,0,468,348,379
48,29,18,218,168,20
3,3,1,278,193,210
122,54,195,36,34,30
1,1,9,75,59,118
0,0,0,627,567,103
0,0,0,385,277,81
13,7,9,137,126,87
1077,429,1090,276,203,40
208,88,151,93,58,25
3,2,4,128,106,111
173,77,35,988,775,814
75,24,47,101,94,90
208,99,29,577,415,180
118,44,57,5,5,0
137,62,45,3,4,0
39,21,42,21,21,36
58,16,105,306,255,155
0,0,0,138,124,51
120,47,79,73,70,40
198,88,60,991,807,98
347,135,821,74,71,53
346,150,108,1,0,1
0,0,0,94,73,50
172,67,264,47,30,24
437,197,54,259,195,163
82,31,56,137,99,145
71,27,61,0,0,0
819,308,3169,573,426,121
725,292,276,0,0,0
260,86,53,7,6,9
376,138,505,26,26,16
635,281,544,83,75,15
0,0,0,37,32,7
321,145,700,780,504,1990
0,0,0,618,422,482
143,54,288,133,120,19
61,22,31,32,27,4
1,1,2,96,82,13
668,251,176,659,508,223
0,0,0,117,90,59
81,23,140,235,218,209
383,179,91,47,27,22
710,347,376,480,382,239
72,25,230,191,147,25
0,0,0,14,12,8
178,70,192,355,245,79
119,49,59,13,10,0
26,13,67,539,468,92
227,111,189,165,156,49
58,21,103,86,67,32
185,79,307,1734,1277,1571
134,53,99,22,24,10
767,303,255,65,44,44
93,38,146,20,11,9
156,72,115,0,0,0
376,167,630,186,123,6
175,65,667,138,105,137
23,23,33,12,10,7
0,0,0,1390,1063,1260
296,147,579,171,117,83
0,0,0,0,0,0
207,79,303,0,0,0
439,157,1984,2,2,2
50,17,28,138,96,61
207,83,597,107,95,71
210,101,603,117,96,1
54,24,188,113,71,74
55,29,24,59,57,60
37,8,31,1,1,1
19,9,40,29,22,21
194,68,205,0,0,0
24,11,13,0,0,0
374,169,531,224,188,22
0,0,0,22,22,10
0,0,0,49,38,59
205,88,494,54,46,8
223,90,518,47,27,22
40,18,4,259,182,28
102,46,60,147,115,65
166,79,133,0,0,0
107,51,68,40,36,36
89,40,134,642,541,68
58,19,151,456,350,186
0,0,0,1355,1086,351
570,232,772,161,116,71
117,34,38,80,67,71
703,295,688,116,85,33
715,298,1620,16,15,4
272,129,612,260,209,86
38,23,32,133,92,14
24,14,27,83,49,9
321,132,94,19,16,41
55,21,81,10,3,1
56,16,166,37,31,34
299,139,153,0,2,1
471,198,728,159,157,24
95,44,162,191,146,24
197,85,717,250,215,73
100,54,2,286,266,1
627,263,969,13,5,10
595,230,259,56,36,47
15,7,0,23,24,1
262,122,83,487,415,255
196,100,31,589,408,227
0,0,0,0,0,0
11,2,18,30,34,4
314,129,282,137,123,74
74,34,105,498,365,96
247,101,306,17,10,0
2770,1151,458,90,70,109
26,13,11,123,93,36
110,53,175,281,265,327
21,10,43,937,733,355
15,4,0,19,14,42
202,103,98,383,311,93
58,20,88,56,31,8
538,239,351,87,51,81
0,0,0,661,497,104
182,81,180,23,19,9
166,49,281,94,60,3
111,45,23,56,45,62
50,15,29,11,11,2
89,40,19,298,239,264
9,6,3,21,12,7
105,55,43,485,400,115
131,61,178,787,548,86
390,212,146,0,0,0
21,15,7,8,1,0
126,35,177,106,71,63
311,115,58,319,267,45
0,0,0,351,280,71
4,2,0,420,323,18
58,15,50,7,4,1
269,134,112,267,224,60
153,61,98,25,21,12
547,261,274,35,21,29
418,176,264,31,20,32
22,6,15,0,0,0
0,0,0,128,93,122
27,8,81,661,529,131
231,95,200,527,380,130
10,5,4,9,7,5
126,62,1,108,86,39
55,31,127,524,383,210
936,465,644,0,0,0
11,1,3,385,276,195
229,93,451,86,69,31
213,91,510,4,5,8
0,0,0,158,133,22
200,93,18,0,0,0
71,24,77,108,63,29
1,2,10,1,2,3
337,130,571,0,0,0
33,15,72,1156,926,605
0,0,0,161,138,88
318,141,192,1454,1176,1693
208,64,281,243,188,198
209,69,286,25,14,11
2,0,7,51,47,73
0,0,0,13,5,5
79,29,53,78,72,119
560,235,141,41,48,21
36,12,58,65,47,37
177,84,115,639,522,198
47,16,4,574,437,226
124,46,169,21,24,68
0,0,0,4,3,5
0,0,0,172,135,44
55,12,9,32,20,25
320,165,155,50,34,63
188,78,129,72,40,41
73,37,52,36,28,4
46,9,59,0,0,0
47,32,75,189,96,568
96,46,80,991,674,1688
629,242,1459,94,90,15
294,135,220,4,8,2
3,1,14,14,10,2
0,0,0,150,105,35
178,75,191,9,12,2
62,32,255,0,0,0
184,85,50,39,30,8
474,215,212,0,0,0
264,168,257,317,290,152
239,77,390,431,366,102
277,120,165,52,40,55
200,102,349,207,162,114
120,48,22,118,101,43
0,0,0,30,17,1
765,302,1349,25,14,34
60,17,31,113,95,15
0,0,0,76,63,22
570,219,467,27,22,5
172,85,58,690,522,209
76,21,55,42,34,56
233,82,1005,149,121,16
0,0,0,262,179,263
1682,698,1247,198,168,71
141,57,220,442,338,271
0,0,0,101,104,146
9,2,0,86,62,4
625,240,706,111,110,35
330,119,173,329,316,128
0,0,0,528,366,593
632,259,179,158,132,79
0,0,0,153,101,87
0,0,0,201,181,16
225,91,188,0,0,0
81,34,20,16,9,5
23,13,32,872,697,348
0,0,0,774,595,198
59,25,73,109,66,102
303,146,48,2,2,0
0,0,0,59,51,6
1164,487,857,2,1,0
217,91,68,5,2,0
92,32,50,1372,1107,640
50,18,28,213,150,188
303,127,173,0,0,0
468,175,992,34,33,18
0,0,0,195,151,74
123,69,88,0,0,0
37,10,48,333,260,519
288,137,470,0,0,0
156,76,75,106,79,41
442,196,474,1269,1035,283
160,75,69,28,15,19
233,102,109,385,318,133
330,128,500,0,0,0
110,48,164,28,12,0
221,100,358,536,413,237
34,14,7,70,51,57
6,4,15,316,278,9
221,90,271,489,403,65
168,56,298,262,231,59
0,0,0,324,291,66
0,0,0,126,103,53
453,190,1162,115,94,149
45,17,31,180,135,173
550,233,450,11,7,2
37,16,80,35,32,5
784,357,16,102,68,7
370,166,574,30,22,2
184,77,187,86,58,84
607,259,98,9,7,3
106,59,32,15,7,0
0,0,0,136,109,103
