"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
2428,2375,3334,2882
1750,1281,1782,2424
6412,12875,7654,8083
1005,700,1241,942
2023,2034,2257,2105
676,860,891,985
1173,1770,1114,844
3357,2377,4443,4410
2234,2940,2527,3654
754,488,971,983
1387,1920,1953,1105
744,531,925,1559
1237,1380,1121,746
1159,1436,1436,1528
1202,1680,1779,867
3039,5202,3938,2699
599,347,747,656
2167,5231,2499,1149
2638,3245,3973,7142
1305,1468,2245,3082
869,371,1310,1859
1622,851,1606,1763
422,239,695,664
993,1222,1938,2837
535,418,556,1308
304,430,513,1005
1200,1837,1113,2455
2183,2157,2809,1332
797,1960,1320,2966
1414,1153,1498,1885
2404,1985,2613,1042
2198,2991,2443,1926
1583,765,2049,1368
2410,2046,3403,4035
608,454,785,732
2746,3327,2599,3538
1516,1382,1890,1699
987,634,1439,1877
935,1324,1354,1197
1970,3987,2538,423
1556,2332,1941,2012
3511,5118,3939,5408
1095,2425,1595,1421
1831,1356,1928,3569
1109,1664,1252,2743
866,433,1328,1270
1933,1349,2539,1662
1581,1054,1777,1518
938,715,1583,600
1793,2791,2005,2728
1228,1486,1658,1211
778,1636,1007,587
2619,2528,3315,4896
1849,928,2157,1397
399,226,481,342
2529,2654,3094,1903
1002,1938,1329,1010
2579,5042,2831,5720
2047,2654,2080,2926
407,457,414,391
2162,1996,2767,3031
1649,2635,1538,1931
3042,3086,4030,5279
604,1341,789,1205
1753,3181,2576,3668
2761,4034,2185,1975
1499,1155,1839,1848
489,434,921,1062
442,853,668,599
1337,1586,1926,1542
1157,830,1446,1195
2777,1697,3633,3656
716,681,1038,1528
1622,2307,1993,2351
1925,859,2616,2831
1268,668,1876,5126
3281,3312,3345,2047
330,375,369,174
1291,1207,1656,2248
1509,2438,1700,2171
1605,2162,1812,2397
2477,2936,2167,1337
1183,1324,1471,1504
1260,1494,1982,1875
142,117,117,70
1772,1130,2774,3847
467,820,704,609
2003,3925,2828,2527
2795,4806,3824,4506
1326,1432,1294,1931
390,221,463,536
2273,1997,2279,2179
972,1590,1116,2514
1414,1323,2236,2159
898,704,1360,1385
1624,1238,2802,1966
1329,2585,2163,2394
2091,1969,2021,2456
1618,1369,1548,2076
1048,1147,1382,1023
3297,2601,3808,3105
1099,1249,1471,2966
789,1032,938,712
1080,1006,1479,1898
1988,2539,3046,4484
428,482,957,1383
2661,4221,3031,1992
1361,1187,1859,2375
1159,1829,1201,1330
2816,3581,3729,3860
954,932,1362,780
1176,1866,1021,573
1437,1952,1884,3341
2616,1827,4134,2376
378,468,853,745
681,1061,1050,1644
322,432,611,302
942,848,1036,927
944,924,918,1133
3104,7496,3832,5094
1412,1968,1935,1482
1218,713,1507,2578
625,448,840,1345
972,1809,846,1523
984,1714,972,1739
1976,4393,2397,1645
2311,3154,2044,1207
2047,2575,2590,6717
1442,1105,1258,1758
1231,1366,1246,758
989,1174,1704,2027
2202,1396,3101,4317
1114,1284,1183,1197
1221,1270,1609,1711
922,808,999,1659
1662,2227,1992,808
2256,1747,2410,2969
490,850,892,1021
1456,629,1453,1007
2258,2772,2834,3891
1647,1444,1572,1437
1293,2341,1745,2144
4167,1720,4785,4738
2252,1747,3042,3380
1975,5095,2771,3531
370,303,512,578
1119,1474,1976,1989
513,353,561,288
1300,1788,1330,1562
3657,3502,4392,4555
2285,2235,3022,5788
961,1409,1449,1877
979,985,1307,793
2772,3316,3414,1995
2419,4705,2481,4065
2928,2848,2371,4183
1070,1284,666,1440
2677,2931,4220,7401
1267,1770,1648,1797
1570,2523,2105,2539
1333,1160,1992,2441
2192,3891,2298,4992
3272,1277,4403,4372
1672,1650,1703,2075
2261,3594,2607,1857
1325,1329,1964,1694
3776,4398,4785,5747
443,358,483,659
2462,5043,3371,5052
1915,1475,2593,3044
3082,1822,4290,5262
2931,1407,3519,5078
2800,2579,3443,7505
2152,1117,2286,2440
1684,2286,2378,2820
965,1155,1043,1630
1669,3851,1875,2389
2421,3096,2807,3455
1104,740,1151,2155
1835,1967,1796,984
2288,2967,2855,5207
3194,2717,3419,5743
1439,2621,1512,1958
1175,1578,1468,2333
388,713,354,261
1155,1197,1570,1314
2726,4701,3387,2562
2558,4744,2950,2835
1438,2952,1544,2271
3125,5362,3906,5447
5559,7633,6739,9405
617,618,1075,743
2324,2002,2147,3231
1608,3073,2270,1542
657,970,795,760
1292,2769,1450,2824
1431,1432,1626,1769
2150,1499,2012,1434
629,882,492,355
2560,2082,2988,2753
755,856,715,860
1054,1367,1456,807
356,388,386,598
1870,1940,1614,973
534,262,893,908
120,114,369,466
891,800,1376,1461
1696,4201,1862,1949
1449,1064,1779,2724
537,310,293,457
1974,2919,2858,2365
3209,2599,3732,8307
4020,2023,4829,4175
979,1565,1163,1119
852,1226,1167,1740
540,147,922,2017
2550,5357,3101,1752
2817,3136,3391,3277
1059,1241,1148,572
2247,5779,2881,1406
1227,1221,1378,1827
2221,1978,3153,4403
957,387,1248,407
2669,3122,3226,2468
1227,1444,1506,1325
1971,2672,2680,4299
2512,4350,2526,3852
2084,3170,2542,4410
1350,1957,1659,2748
1021,886,1343,2530
1221,1483,1642,5592
1061,856,1848,2175
569,725,984,862
2126,2738,1992,4178
1039,680,1089,1325
3697,6197,4783,3485
2174,2001,2308,3320
1611,670,2279,2528
1990,3122,2641,1081
1814,2694,2425,2490
2479,2697,2690,4630
1551,2252,1506,1131
2317,5973,3037,2627
602,898,871,1245
2515,1633,3043,2498
2641,2447,4274,2385
533,703,472,954
483,788,719,1267
6518,6894,7121,5457
1774,1311,1862,2441
666,913,897,959
551,596,800,1423
1222,1717,1499,967
1835,2518,1780,1624
1597,1202,1655,1426
2660,4674,2825,2800
1161,473,1237,1159
860,1369,929,1619
1038,1492,830,626
2015,3195,2135,1849
734,695,1039,987
2808,2606,4272,3795
1118,774,1476,3062
1518,1225,1449,819
542,1347,734,692
2549,3271,3204,5260
1509,1351,1718,2470
1987,2267,2472,1542
1064,957,1704,1600
655,504,654,494
470,309,603,364
3386,3442,3747,2203
3960,3920,5214,3114
2464,4472,2377,5062
204,165,306,457
3072,2319,3965,8339
1020,922,1419,1204
1736,3915,2850,1311
2219,4643,3080,3994
935,1099,1098,926
596,464,850,347
2442,3151,3236,2163
676,768,1329,1130
2652,1068,2805,2879
1103,1390,1266,2447
2955,3030,3581,3956
316,156,405,677
1034,2029,1150,2924
1323,2905,1901,1025
787,133,1055,860
2461,2243,2116,1561
3876,5893,4674,3288
2659,5372,3117,3270
3054,2929,3226,1245
2701,4680,2947,3229
922,1352,1387,2370
377,523,549,393
558,412,682,418
1953,1247,2525,2250
641,739,696,499
2516,5568,3456,3581
1496,832,2085,1954
1843,812,1871,1367
412,975,321,381
357,215,359,420
1325,2030,1719,4757
3425,5344,3681,5420
573,1228,763,607
564,487,778,810
1494,2045,1561,2515
533,396,636,455
2128,1626,2956,1696
1948,2061,2506,4438
1259,1407,1231,806
533,1034,859,498
1887,4420,2151,1074
2874,4282,3873,1222
819,891,747,294
903,967,1061,1276
2882,3100,3220,2437
2410,1886,3505,4658
766,1247,1169,1408
2932,3427,3474,3919
171,133,338,759
2014,2474,2482,1846
961,878,1089,991
1062,1916,1842,3301
952,860,931,1280
298,424,406,489
1788,841,2515,3404
785,780,1107,1038
600,878,1416,3627
2445,2161,2660,1012
2146,2576,2358,3375
1941,2207,3074,3448
1661,2279,1968,3230
946,498,1164,1168
126,171,113,71
2566,2687,2869,1146
1694,1387,1894,1906
1316,1271,1617,607
634,1111,823,1057
1082,1541,1045,895
827,571,1077,1067
4354,12508,4991,7111
714,536,543,722
526,597,552,823
759,584,958,1430
2239,1727,2311,2915
1440,1179,1756,2373
807,890,1226,939
3543,6922,4495,3473
1336,924,1901,3287
1710,1022,2563,2488
966,1218,1495,1911
1966,3201,3494,2124
1981,1580,2441,3214
3081,4436,4297,3642
383,315,539,441
1921,946,1891,671
1129,1124,1405,1680
2803,3742,3962,7385
2391,2510,2324,1558
599,1083,716,1161
798,725,962,1629
1152,1189,1597,961
1358,2642,1525,1155
1027,1091,1530,1530
2096,4349,2481,3667
3059,4948,3615,7994
1219,1963,1446,756
1775,1203,1677,1326
835,695,848,953
1019,680,1211,1080
1063,1644,1090,1046
534,552,528,743
1596,2411,2321,1212
1525,1233,2496,1654
1295,1094,1066,949
1004,1069,1471,1014
1008,2421,1181,472
1459,1579,1293,1379
1902,3367,1733,1277
997,1016,1271,1655
1223,1373,1777,1736
492,488,798,664
468,530,504,855
691,1293,567,751
902,560,1298,1804
1084,2278,1637,1768
1238,350,1302,2915
548,1254,851,1756
3278,4797,3795,1976
1485,1058,1919,2110
640,589,670,583
4556,8105,6191,7073
987,1449,651,1176
1838,5565,2132,1322
2209,2070,3027,3666
846,623,1458,1362
4988,7233,5790,7804
1516,544,2021,2584
1601,501,1922,3524
2769,1545,3416,4535
1336,2113,2133,1617
1468,2512,2354,3304
2495,3511,2183,2481
1069,1291,1564,1952
638,562,966,1393
3269,4788,4423,3127
378,461,686,758
1617,3476,1558,1144
1415,2208,2102,1206
1046,816,1646,1198
1936,2400,1793,1378
1045,1546,1423,1649
393,322,533,1062
2809,2260,4082,4467
1148,983,1542,1348
2818,3291,3409,5446
2058,1614,2013,1326
1756,2017,1966,3495
3928,8694,4274,4261
1896,1782,2451,1856
527,695,806,1045
1916,1772,2794,4156
962,1216,1134,593
1479,1255,1964,3490
1855,2016,2501,1647
1347,1177,1612,917
1210,842,1281,1183
700,1129,1289,1865
609,703,713,817
1835,1370,2384,2168
798,1097,1375,434
1869,1749,1961,1202
2823,5205,3551,2814
2500,2426,3422,3853
562,288,856,1191
2196,1729,3284,5316
481,712,582,451
1159,2662,1292,1682
3253,3711,3574,3980
1902,1734,2525,3296
1325,1238,1631,1402
1234,1182,1715,951
4926,1684,5833,2419
2648,2669,3184,6412
587,927,1149,1764
3090,3193,3146,4911
687,801,1100,407
1463,427,1287,866
1066,813,1121,2910
1736,1195,2409,2074
1278,1801,1565,2581
820,1139,1230,1287
2390,2472,2935,2811
2806,2109,3705,5086
1023,870,1222,1015
1876,3191,2251,730
1550,1611,2040,1552
2417,3856,2136,4849
1059,1202,1669,2685
78,24,109,216
639,504,843,923
3565,7422,4851,5229
382,311,708,544
1699,1461,1774,1318
950,238,1151,1553
902,456,1257,1112
506,843,613,802
783,955,964,1789
2058,2926,1976,1430
1488,2500,1894,3008
1573,2721,2313,3471
450,548,388,493
3812,5208,4643,6871
4952,12963,5518,5325
1646,1717,1666,1192
2097,1359,2023,3177
1650,1214,2242,3856
1966,1612,2977,2014
1693,2267,2180,2348
2395,2908,2785,546
262,209,463,475
6502,8170,8096,9462
766,644,876,1154
227,434,360,286
1551,4123,2189,1618
1496,2718,2118,1883
1961,2207,2503,2926
1611,1339,1770,2538
4407,9011,5244,8247
980,1418,942,902
1406,850,1618,1091
2030,3656,2278,2440
2165,6166,1653,1533
1842,3612,2583,2997
2934,4025,2910,6197
2107,1407,2774,1089
947,2290,1292,1689
1335,2622,2263,2302
2151,2137,2710,6579
2163,2036,2333,1035
3901,9763,5067,4693
2872,2865,2778,2947
1413,2103,1332,763
684,690,654,937
1481,1787,1784,2207
443,508,898,441
4565,4397,5370,5127
2354,5242,2854,3472
1472,2348,1994,1114
951,2409,1617,1361
702,725,1218,1890
3607,3207,4338,4684
816,824,1033,1176
1049,1071,1556,1443
1252,1879,1592,1512
1079,1254,1596,1500
876,1249,1222,2120
1330,1355,1563,1249
3476,4524,4087,2487
536,366,474,316
3779,5719,3931,7561
1073,1486,1562,1390
2106,1958,2161,1993
1446,1698,2086,2850
829,1324,642,424
1140,803,1087,1778
1026,1091,1101,1184
1418,1077,1504,2019
2057,1965,2479,1495
1140,2055,1027,1681
980,844,1638,1680
2997,4430,3990,5170
1291,1060,1381,1526
1526,2271,2286,2330
1210,2071,1421,2167
1005,971,1202,717
547,448,768,1518
2784,3193,2896,2056
760,574,448,522
2361,5157,3232,2156
933,1187,1638,800
4091,5656,5117,3715
1234,1243,1609,3262
1582,2606,1884,1401
1424,1950,1595,1633
1254,2072,1551,1703
1879,1722,2467,2202
522,423,584,682
989,1154,964,627
222,114,230,99
4761,6369,4705,3822
2881,2306,3442,2844
1012,1360,1224,2313
2172,517,2792,3810
1707,1700,2524,2771
1656,522,1967,1086
2746,5032,3554,3979
3982,4484,3151,2081
1853,1092,1889,4073
330,483,472,260
1763,3383,1530,2270
1313,1053,1422,1376
838,328,808,886
1615,2533,1877,1520
2029,2921,2266,2169
1030,1071,1442,998
2733,3527,3416,5179
844,1224,1059,1296
1204,1008,1513,1978
2247,1394,2756,2605
2660,2166,3980,5364
2410,881,3368,3026
861,1283,1366,2102
1979,4016,2868,3324
2722,2692,3308,5035
1478,1267,1951,1450
1763,2101,1582,1695
621,568,798,1756
1480,2645,1735,1664
2053,1639,2496,6927
911,1594,783,845
1453,1078,2466,991
1473,2140,1822,2174
2137,2051,2894,4068
1258,2885,1229,1284
299,134,358,333
1825,1455,2462,3740
1548,3189,1840,2764
3548,2383,4444,1690
1921,3837,2359,1854
2486,4978,2882,6878
1248,2017,1830,2950
1848,3177,2547,5022
1334,1816,1718,2237
1559,1442,1713,1148
601,377,623,375
770,408,925,1484
4275,4140,6279,4969
776,1083,1247,2113
2228,1967,2225,5034
2133,2408,2490,4259
985,1330,1272,1298
2369,2861,3373,4180
1564,1515,2287,3160
1140,1909,1401,1492
1368,273,1941,3467
3524,2078,4148,4364
2241,2556,3120,2359
1883,680,1748,1919
1285,2056,1263,961
1026,2256,1421,1156
1311,1308,1217,1787
328,407,424,389
776,1026,1120,1845
2166,4004,2728,3185
1246,1139,1748,1904
955,1452,921,852
427,502,999,1087
2215,2102,2747,2774
963,563,1217,779
713,572,858,434
579,306,465,630
2679,5224,3425,1037
1138,2136,1240,1060
1612,2362,2163,1612
896,506,1049,924
2677,2991,4106,2443
763,730,972,587
4091,6830,5443,2939
395,273,571,868
462,678,484,343
363,530,541,376
497,833,714,785
1498,693,1962,1106
2496,2098,3309,1696
1791,1326,2529,3863
1144,1229,1457,1496
897,2571,767,1415
2879,4471,4006,4184
2294,2848,2950,3140
1575,896,1711,2175
324,389,88,74
1563,1677,1908,1981
2121,2817,2822,2001
1794,3041,2389,976
3896,5197,4532,6780
2820,5288,3446,4448
1080,1207,1609,1550
1658,2465,2342,2673
1994,2231,2385,1504
598,670,583,158
1065,1447,953,1298
1943,2332,2177,2030
1424,1102,1566,1882
2398,3392,2722,1514
930,2000,1123,1396
2313,920,2989,1734
2404,816,2809,5211
2684,5188,3146,3809
1698,2793,1551,1826
1154,573,1357,1540
1521,1075,2502,2127
998,1628,1381,2093
2040,2673,1994,2145
1761,1444,1776,1658
1430,1981,2198,1436
2310,3464,3134,5030
388,825,780,749
2098,3680,2902,2735
2906,3711,2980,3381
1751,1754,2002,1690
5672,8144,7855,13897
1590,3401,1467,920
699,388,787,865
4345,7091,5350,8090
722,841,1188,713
3590,3025,4250,3482
1636,2299,1761,3263
312,257,463,608
2129,5352,2543,2099
1608,2954,2024,2212
2132,1118,2905,4135
1241,2096,1351,2079
1764,1890,2381,1785
696,1027,853,703
3030,2074,4049,2901
921,3115,1276,1089
1585,1212,2384,252
1052,889,1443,1383
4055,2751,4546,3332
3160,5958,4198,5858
754,1264,1094,406
2303,4995,2637,2485
925,732,1574,1720
1353,1155,1728,697
726,1157,1321,2056
525,586,914,1927
2468,2834,2130,1223
2807,2831,3205,3547
2053,3181,2266,1138
876,750,1052,1139
335,602,455,969
1037,1887,1155,1046
952,1773,1337,1081
959,911,1204,1266
2795,6175,3378,4530
748,385,712,665
4277,4249,5320,5653
1919,1206,2627,2898
1305,1360,1798,2580
1128,1156,723,333
1572,1215,1662,1120
844,821,1175,1139
1842,3613,2627,2444
1323,785,1450,3360
2807,1084,3002,1680
2968,3788,4057,3014
1330,1928,2092,968
2543,3222,2918,2866
2463,4538,3303,3839
1635,995,1544,2486
1035,1446,1465,1381
2218,867,2794,3218
4967,2829,5568,16255
1752,1504,1710,1862
2111,1692,2592,1735
6136,4967,7765,12090
623,534,835,745
2151,4903,2038,2632
255,526,373,580
311,327,376,309
1457,1037,1516,1456
944,926,1020,626
1189,1544,1753,1620
1379,1587,1556,1580
1000,910,1035,1645
74,83,290,338
1087,1478,1180,2104
2812,3565,3878,5867
1548,1129,1834,3256
1829,2646,1891,1292
1165,1639,2274,2412
2392,4042,2971,3801
1664,1153,2478,2305
1589,983,2076,2276
1929,2454,2088,1121
511,895,860,763
447,656,520,492
2063,1965,2166,1358
1028,2757,1826,1469
4243,12094,4995,5158
1401,554,2013,1502
504,1186,825,791
1600,3014,2448,2723
1204,1930,1618,921
1861,1014,2315,1157
954,1189,1123,925
1823,1439,1963,903
3518,7428,4219,4526
1808,2581,1913,1016
2132,3853,2922,3433
453,285,522,376
928,1708,1221,1314
2831,3040,3710,2043
592,265,763,709
1393,785,1695,1956
1353,915,1793,1383
2044,2129,2410,1454
2203,2823,2681,4709
1038,1591,1278,1865
1275,2101,2262,3816
1117,1315,1398,1003
936,1806,960,714
3034,2870,3223,4687
1395,1679,1872,4565
5305,5793,5699,3567
2375,4447,2579,2550
3678,3019,4661,5580
1331,1277,1397,1493
2041,3276,2664,1922
1077,1214,1208,1311
1583,1899,2025,3715
425,845,760,968
359,293,536,323
1049,908,1136,983
2340,2722,2438,2306
963,1173,1064,2117
1102,1967,1402,625
5170,6403,5143,7618
658,619,1095,1210
1522,1819,1711,2671
1742,976,1911,2224
599,1669,859,774
1394,1203,1380,316
2549,1651,2571,706
1493,827,1855,1123
1128,1246,1421,1611
431,250,691,446
2067,2497,2401,1357
1911,593,2292,1882
547,390,874,772
847,749,1114,674
504,357,519,794
1015,939,1147,527
1071,725,1106,1062
424,277,382,142
1933,3081,2244,1729
1764,1436,2333,1508
2139,999,2598,1079
4878,1753,6583,3366
2691,2618,2584,1060
3404,1769,4439,2108
656,289,989,344
1772,2529,1948,590
1265,529,1472,1951
1703,954,2079,685
1025,363,1220,795
4841,4112,4206,2160
2542,1660,2529,1235
1001,774,985,961
654,826,1072,849
777,355,1304,1049
115,20,169,84
2254,1098,2790,2979
819,149,659,582
2790,2783,3499,3242
1676,715,2249,808
1019,1175,1410,366
2388,1871,3325,1917
2585,2422,2545,779
2133,2393,2520,402
1886,1520,2094,2390
2454,1202,3219,1310
1055,1299,991,429
639,405,728,528
1535,344,1262,998
1621,2411,1974,1115
2860,1385,4021,3396
1488,482,2117,2114
2585,692,2932,2352
2655,2573,2331,2105
2436,2903,2463,2028
2132,772,2362,3371
2333,2249,2239,1019
2649,691,4007,3263
3962,3601,4902,3796
1180,765,1344,956
1130,1182,1230,574
1660,2716,1798,1276
2963,2557,3653,3664
1473,3874,2335,1566
410,302,659,1356
3024,2364,3402,2903
1051,857,1217,594
1256,2549,1453,1767
1632,4070,1863,922
3251,3767,3867,668
1466,1402,1664,1832
1137,1849,1535,2403
504,792,865,1338
1591,2614,2459,2598
2269,1587,2814,3300
1218,404,1509,559
2856,5211,3400,3981
1596,3609,1950,2021
1240,1481,1718,2372
2420,748,2985,3786
2671,4825,2800,1398
2825,4124,2893,1084
5121,4000,5477,9677
1091,1435,1359,1798
447,108,379,480
664,1251,1020,830
2726,1892,3341,5863
1360,726,1566,2098
3218,5950,4708,5424
1448,1558,1858,1352
2727,1601,2973,1961
4156,1895,4376,4777
883,493,1269,1297
757,608,1090,1104
2119,2500,2999,3774
2670,2295,3287,2261
1672,2332,1854,1377
1963,1222,2346,2126
2858,4718,3945,3720
1477,1859,1762,2102
736,1675,1177,1495
1120,247,1136,1690
884,1165,1112,503
3132,2813,3271,2547
1237,1362,1620,1815
1307,2340,1151,1489
2109,2153,2446,3952
906,1035,1091,916
1446,2030,1140,1500
939,493,1405,1009
483,558,461,783
3246,3669,3982,4672
581,775,736,394
1717,1309,1762,3978
390,650,646,845
968,907,1392,895
1024,1671,965,900
2991,5963,3434,8861
659,536,676,283
799,761,899,506
1438,3210,1226,2165
1907,1406,3123,7259
2663,2144,2410,1822
2672,6573,3141,2534
2079,1957,2570,1334
2456,2541,2159,1468
2064,4062,2644,4342
1272,2026,1361,3082
2850,2588,3266,3717
480,227,518,1110
1703,1682,1848,2135
425,147,983,636
3046,1306,4300,2046
2382,3640,2993,7683
1504,500,1597,2252
3486,8810,3643,1870
3558,3678,3420,4704
2262,3184,2743,4867
995,1641,1236,899
4526,4267,5418,6437
2940,5000,3702,4561
1441,1674,1617,1574
366,473,571,774
645,856,794,669
3280,7437,4059,5220
769,539,1089,939
1402,668,1401,2479
1696,3244,2038,2009
1528,644,2001,2386
1642,996,2019,380
4158,2308,4992,5848
1134,2695,1069,569
2886,5870,3086,3155
2062,2460,2131,1475
1658,1715,2315,2367
1620,1012,1499,1377
2143,4766,2703,1846
5332,8732,6546,3029
3658,3553,5063,3965
1575,1311,2189,4225
2878,2840,3738,5550
1408,1975,1757,1493
986,2379,1410,2898
1979,1733,2459,1107
2300,1778,2641,3788
2978,3685,3431,3456
2214,1512,1773,1417
1419,1102,1624,1774
303,310,516,1097
754,1283,939,1649
1869,2551,1821,3335
353,324,370,266
2480,1576,3260,2976
1994,3246,2852,2383
419,649,278,322
1727,3400,2089,1318
89,138,115,301
1338,850,1737,2215
2557,1544,3373,3680
1392,1266,2217,1973
1597,1925,1977,1332
1152,932,1667,1564
882,2262,1014,474
783,1073,1100,877
3334,2186,3882,4873
829,608,794,661
1764,3349,2245,1654
1242,908,1623,2157
1895,4152,2262,2442
1884,2006,2631,3671
2150,2807,2258,3209
1551,2117,2001,1829
1983,3476,2391,1815
1898,2528,2828,2480
1659,2348,1255,923
1270,1508,1842,1237
2212,2500,2181,2650
1218,2586,1620,1218
3433,6723,4396,5537
2968,3641,3252,2146
1775,1620,2089,3320
1129,547,1654,1557
1296,1128,1883,2895
1773,1311,2135,3283
2250,1791,2169,2078
1400,1453,1380,1318
880,1252,1255,2740
2006,872,2059,1151
202,176,256,252
892,1080,1072,2310
1307,1918,1317,1808
1165,1452,1154,1005
1522,2987,1813,1243
1377,2536,2193,2189
2669,2868,3661,3566
2062,3014,2636,3103
1572,2117,2220,3139
1150,885,1096,1385
1493,2045,1880,2766
705,1299,1026,635
1551,2354,2211,1240
5149,6223,6224,5427
1854,1277,2259,2374
610,718,598,704
1481,2002,1732,1829
1382,2436,1634,2192
2926,5833,4206,3799
2152,856,2562,787
3517,2971,4412,6702
439,490,470,273
2722,4025,3062,3056
746,1967,883,2286
1315,1103,1919,815
1789,2710,1752,1383
506,376,877,814
521,776,1078,1517
1411,1917,1631,2463
1191,2805,1420,1047
2237,1833,2876,5601
406,1012,538,536
1149,2506,1058,1092
1455,2633,2172,2540
2132,1374,2828,4230
1586,1156,2074,867
3756,3645,5044,6628
1111,1088,1415,1061
790,797,1140,2270
1480,1258,1320,1132
3377,4440,3972,6940
1209,1147,1268,591
2873,4535,3983,1976
2067,1282,2220,835
1908,1723,2716,2891
465,375,233,339
2738,2455,3092,2864
5096,5267,5652,7670
1691,3539,2076,1157
2043,3383,2796,1522
9,16,33,14
2260,1996,2271,3574
3437,3667,4088,3185
1827,2617,1979,1566
289,108,296,315
556,846,599,1076
3107,4590,3967,2207
3305,5550,4565,8447
1918,3672,2001,3109
1261,939,1389,1757
1036,1068,1029,514
1123,1034,1687,1089
1896,1755,2507,1656
2762,3157,3621,2070
1259,1319,882,707
3205,5513,4252,5606
3247,4117,5341,6368
683,628,840,560
1079,781,1500,2360
1770,3496,2239,3966
654,1175,694,744
4900,7910,6095,5206
2223,4039,2007,2346
2204,2235,2510,3410
2167,4523,2517,1800
1920,507,2115,5318
1292,3007,1553,2995
1118,967,1586,1780
341,850,817,563
1692,2294,1662,2096
1921,1171,1313,1194
1291,1230,1629,2814
1561,1002,1982,1512
526,648,815,1979
4162,6720,5626,8892
1595,2286,1462,1110
1686,3062,1515,2099
2846,5409,3035,3390
792,546,935,891
643,711,765,785
938,737,1938,3235
1871,2997,2868,4946
1956,2752,2737,4032
845,991,758,929
267,343,342,563
2949,3444,3315,2787
1272,1704,1719,1853
2265,4248,2449,4907
2054,3960,3027,3415
1090,387,1314,722
